Comentario,Label
La tarea fue completada correctamente y el sistema funciona bien,1
El resultado fue excelente y el equipo quedó satisfecho,1
Muy buena experiencia con el flujo de trabajo,1
El servicio respondió rápido y sin problemas,1
La entrega fue puntual y la calidad es alta,1
El proceso fue confuso y se perdió información,0
No pude completar la tarea por un error grave,0
El sistema falla y causa retrabajo,0
La comunicación fue mala y no recibí soporte,0
No estoy satisfecho con el resultado final,0
